File Name,God Lines,Too Many Parameters,Identifier Size,Function Length,Lazy Class,Function Chains,Large Class,Data Class,Middle Man,Cyclomatic Complexity
contact_us.py,0,0,0,0,1,0,0,0,0,0
difficulty.py,0,0,0,0,1,0,0,0,0,0
multiple_choice_question.py,0,0,0,0,1,5,0,0,1,0
action.py,0,0,0,0,0,1,0,0,0,0
update_profile.py,0,0,0,0,0,2,0,0,0,0
token_value.py,0,0,3,0,0,11,0,0,0,0
admin.py,0,0,0,0,0,11,0,0,0,0
token_use.py,0,0,0,0,0,0,0,0,0,0
canvas_course_registration.py,0,0,0,0,0,1,0,0,0,0
faq.py,0,0,0,0,1,1,0,0,0,0
parsons_question.py,0,0,0,0,0,3,0,0,1,0
reset_password.py,0,0,0,0,0,6,0,0,0,0
question_category.py,0,0,0,0,1,1,0,0,0,0
schema.py,0,0,3,0,0,5,0,0,0,0
models.py,0,0,2,0,0,26,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
admin.py,0,0,0,0,0,1,0,0,0,0
tests.py,0,0,0,0,0,0,0,0,0,0
urls.py,0,0,0,0,0,0,0,0,0,0
views.py,0,0,0,0,0,1,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0001_initial.py,2,0,0,0,0,28,0,0,0,0
